date,open,high,low,close,volume,barCount
20220302,9.75,11.37,8.84,9.43,3442.88,1468
20220303,10.0,10.0,8.24,8.27,5316.24,2015
20220304,8.44,8.75,7.43,7.45,5261.59,1903
20220307,7.5,7.5,6.69,6.87,4534.5,1725
20220308,6.94,7.64,6.71,6.82,4589.06,1818
20220309,7.76,7.88,7.3,7.62,4382.2,1563
20220310,7.8,8.24,7.25,7.39,3843.78,1631
20220311,7.56,7.75,6.53,6.94,4614.33,2317
20220314,7.0,7.15,6.25,6.35,1908.96,682
20220315,6.46,6.69,5.91,5.92,4372.89,1946
20220316,6.0,6.32,6.0,6.28,3216.33,1526
20220317,6.24,6.72,6.13,6.63,2547.61,1147
20220318,6.74,6.86,6.5,6.83,3212.26,1406
20220321,7.07,7.1,6.12,6.37,3390.69,1605
20220322,6.52,6.9,6.51,6.75,2844.96,1244
20220323,6.68,7.86,6.62,7.14,5827.19,2647
20220324,7.23,8.01,7.19,7.63,4116.87,2249
20220325,7.77,7.85,7.03,7.31,2999.13,1233
20220328,7.29,7.36,6.85,6.93,2966.57,1377
20220329,7.06,7.06,6.57,6.79,2188.84,834
20220330,6.8,6.98,6.61,6.67,1499.23,767
20220331,6.84,6.86,6.25,6.3,1736.96,967
20220401,6.56,6.56,6.15,6.22,2192.96,1080
20220404,6.3,6.53,6.22,6.52,1456.3,745
20220405,6.43,6.43,5.94,5.96,3126.03,1268
20220406,5.9,5.99,5.61,5.83,3551.71,1175
20220407,6.0,6.51,5.97,6.22,3132.77,1346
20220408,6.16,6.23,5.92,6.15,1779.15,866
20220411,6.05,6.1,5.73,5.85,1757.71,907
20220412,6.02,6.16,5.9,6.15,1567.68,745
20220413,6.17,6.45,6.08,6.42,1284.56,617
20220414,6.42,6.42,6.12,6.34,1611.41,650
20220418,6.25,6.28,6.0,6.17,1226.42,667
20220419,6.11,6.18,5.78,5.83,1759,860
20220420,5.83,6.01,5.76,5.9,2299.33,1106
20220421,5.97,6.18,5.7,5.78,2342.5,1065
20220422,5.94,5.94,5.54,5.63,858.73,390
20220425,5.58,5.93,5.42,5.9,1441.93,564
20220426,5.81,6.32,5.76,6.0,2757.39,1274
20220427,6.0,6.74,5.83,6.47,3220.1,1483
20220428,6.46,6.85,6.42,6.74,2358.68,1187
20220429,6.65,7.1,6.32,6.95,2613.7,1311
20220502,6.91,7.08,6.72,7.04,1716.81,1046
20220503,7.04,7.19,6.78,7.15,1754.41,999
20220504,7.09,7.1,6.44,6.78,3286.59,2117
20220505,6.8,7.15,6.55,6.99,2303.27,1283
20220506,7.02,7.5,6.72,7.42,2990.25,1292
20220509,7.37,7.61,6.37,6.42,4928.61,2235
20220510,6.44,6.5,5.41,5.68,4254.31,2067
20220511,5.82,6.87,5.7,6.07,3692.93,1801
